Timestamp,Type,Token Name,Mint Address,SOL Amount,Buy Price (SOL),Sell Price (SOL),Profit/Loss (SOL),% Gain/Loss
2025-03-03T00:29:19.868Z,BUY,BEST OPTION BTC,2i4DqCUhJbX4yCNY29vhf2QgPFt4FfHfivopjaVZpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:21.706Z,SELL,Bullish Trump Cult,undefined,0.050000,0.0000000280,0.0000000283,0.0000000000,1.15%
2025-03-03T00:29:21.912Z,BUY,JAIL RONALDINHO R10,EdAL2AWMqnScjaYNQ8udUgZU3FPDzuG7vAqzAWK6pump,0.050000,0.0000000283,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:22.379Z,BUY,Victory Screech,8hTgsMEXM55vfSciiRQZ63CJvcqdPspfWZRi9xC1pump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:22.430Z,SELL,JUSTICE FOR ALBERT,undefined,0.050000,0.0000000299,0.0000000280,-0.0000000001,-6.14%
2025-03-03T00:29:27.569Z,SELL,Crazo AI,undefined,0.050000,0.0000000299,0.0000000312,0.0000000001,4.57%
2025-03-03T00:29:29.388Z,SELL,Why are you gay?,undefined,0.050000,0.0000000299,0.0000000299,0.0000000000,0.00%
2025-03-03T00:29:30.919Z,SELL,CatCash,undefined,0.050000,0.0000000289,0.0000000290,0.0000000000,0.28%
2025-03-03T00:29:30.920Z,SELL,Fart Reserve ,undefined,0.050000,0.0000000281,0.0000000297,0.0000000001,5.42%
2025-03-03T00:29:34.527Z,BUY,ZELENSKY,8y1EdM3dPr6qFAVAWHR5XEEgNb5E9CGsjKaorSpKmrjx,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:39.302Z,SELL,Why are you gay?,undefined,0.050000,0.0000000299,0.0000000280,-0.0000000001,-6.16%
2025-03-03T00:29:42.908Z,SELL,Stripping on Kick Control Me,undefined,0.050000,0.0000000289,0.0000000290,0.0000000000,0.28%
2025-03-03T00:29:43.338Z,SELL,Trump Doge Reserve,undefined,0.050000,0.0000000282,0.0000000283,0.0000000000,0.35%
2025-03-03T00:29:49.871Z,SELL,BEST OPTION BTC,undefined,0.050000,0.0000000299,0.0000000299,0.0000000000,0.00%
2025-03-03T00:29:51.364Z,BUY,Early Bird Dino,uEDDBnq9imfGoTyqBKPzYSbJHcio4ra4xEvFdZxpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:51.647Z,BUY,Live Stripping on Stream,9kBWK2e8rB1PzsCAaTUpAxkNsSurSMnxiCU5h77qpump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:51.913Z,SELL,JAIL RONALDINHO R10,undefined,0.050000,0.0000000283,0.0000000284,0.0000000000,0.28%
2025-03-03T00:29:52.381Z,SELL,Victory Screech,undefined,0.050000,0.0000000289,0.0000000290,0.0000000000,0.34%
2025-03-03T00:29:57.103Z,BUY,Elonbanned,FMJfAkj3oeSCL4KSxYEPLYk5ViimukJYuj8VM8j8pump,0.050000,0.0000000297,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:59.422Z,BUY,Jail Brian Armstrong,6xutu5292emeqiXU5v67Keh4CpaArcrirLEfrtiXpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:03.018Z,BUY,TaxEvasion,52CEsdG77BRgJ8uuev3V1TYShieJScDuUKWiq2Yhpump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:04.531Z,SELL,ZELENSKY,undefined,0.050000,0.0000000280,0.0000000281,0.0000000000,0.41%
2025-03-03T00:30:06.497Z,BUY,Cynthia Erivo Winner,BhiMFNs22kJ53x7nhHbjpB1zYQ2bbK8rEvXeaAPCpump,0.050000,0.0000000287,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:10.425Z,BUY,DOG WlF HAT,EcHPGMD2dCn6EQoTEiBmLmNyjKFrcjCuheWciczJpump,0.050000,0.0000000291,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:21.366Z,SELL,Early Bird Dino,undefined,0.050000,0.0000000299,0.0000000281,-0.0000000001,-5.95%
2025-03-03T00:30:21.649Z,SELL,Live Stripping on Stream,undefined,0.050000,0.0000000289,0.0000000298,0.0000000000,3.17%
2025-03-03T00:30:22.503Z,BUY,baby fun,3XfFM6zbTGYAaRzBNr4Rfn4NTuzhd4pzEbGVmDDjwCTH,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:27.105Z,SELL,Elonbanned,undefined,0.050000,0.0000000297,0.0000000299,0.0000000000,0.65%
2025-03-03T00:30:29.423Z,SELL,Jail Brian Armstrong,undefined,0.050000,0.0000000299,0.0000000299,0.0000000000,0.00%
2025-03-03T00:30:33.019Z,SELL,TaxEvasion,undefined,0.050000,0.0000000280,0.0000000283,0.0000000000,1.07%
2025-03-03T00:30:34.045Z,BUY,Poptarteds,CNesJX8ayYzzzhta7ugZfan9MCjAaQSM6sj1oPqUpump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:36.500Z,SELL,Cynthia Erivo Winner,undefined,0.050000,0.0000000287,0.0000000302,0.0000000001,5.31%
2025-03-03T00:30:40.426Z,SELL,DOG WlF HAT,undefined,0.050000,0.0000000291,0.0000000322,0.0000000002,10.54%
2025-03-03T00:30:41.806Z,BUY,Justice for Finn,4SVkjWwLWPN9a2CNs4uoH14mFXcmKh6Bf8Jz9Tiwpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:43.339Z,BUY,TRUMP BITCOIN,35XyxUmLui45ZbRov57AgUaKhE8PN2WztzQt3wncpump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:46.555Z,BUY,EUROPE BITCOIN RESERVE,2VZwwPP4uRhaqhuf1CYzv56G9bCQPfXgw8b2J5i9pump,0.050000,0.0000000294,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:47.036Z,BUY,Symbol,DZ5RsSYmJ2hoPC6NYrviL73bNbasVywcqbUeBHwXpump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:50.113Z,BUY,Symbol,Do2LVw7GC2qqQ4kX9ivU1UDzkuD8gBE3Sdi8f835pump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:52.504Z,SELL,baby fun,undefined,0.050000,0.0000000280,0.0000000286,0.0000000000,2.06%
2025-03-03T00:30:53.767Z,BUY,Stupid Coin,4tnEtEUMJNUZatDBKyU4Afnj2n7zGq77iGxRUxWmpump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:55.067Z,BUY,RESERVESOL,4V45dZruk7bZE2WabN8f2PvBfr7dVLwsBerEHjzfpump,0.050000,0.0000000295,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:55.247Z,BUY,Yamaha YZF R-6,5ycoW6f1zdaFbNGM4gQ6TRirmJG4aodNbDHErxEnpump,0.050000,0.0000000284,0.0000000000,0.0000000000,0.00%
2025-03-03T00:30:55.858Z,BUY,Symbol,BgABRBz3D4r1GNiX3Xp7eQx2PZ1xZd1i7M52axEEpump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:31:04.047Z,SELL,Poptarteds,undefined,0.050000,0.0000000289,0.0000000306,0.0000000001,5.96%
2025-03-03T00:31:07.471Z,BUY,Columbia Crypto Regulation,GWZAzc48XMnc99aiTzP6P3qM8mJANS4qJtv6df1pump,0.050000,0.0000000297,0.0000000000,0.0000000000,0.00%
2025-03-03T00:31:11.809Z,SELL,Justice for Finn,undefined,0.050000,0.0000000299,0.0000000417,0.0000000006,39.79%
2025-03-03T00:31:13.340Z,SELL,TRUMP BITCOIN,undefined,0.050000,0.0000000280,0.0000000281,0.0000000000,0.55%
2025-03-03T00:31:16.557Z,SELL,EUROPE BITCOIN RESERVE,undefined,0.050000,0.0000000294,0.0000000294,0.0000000000,0.00%
2025-03-03T00:31:17.038Z,SELL,Symbol,undefined,0.050000,0.0000000280,0.0000000283,0.0000000000,1.21%
